id,year,lustrum,count_by_lustrum,duration_minutes,genre,genre_simplified,word_plot_count,media_sentiment,topics_lustrum_keywords,count_female,count_male,female_presence,female_ratio,female_adj_percentage
14a8e1ff-77fb-4f30-944e-4130328b8270,2025,2025,64,93,Documental,Documental,57,POS,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,1,0,0.0,57.14285714285714
022e6273-90c4-4cae-b0a1-6387d5f4b78a,2025,2025,64,100,Drama,Drama,67,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",1,1,1,0.5,71.42857142857143
e2468dcb-a0f6-4d52-882f-823d1ef509ab,2025,2025,64,96,Drama,Drama,23,NEG,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",1,0,1,1.0,0.0
8c9b4c57-d118-4cc2-9f36-f4ca68c6c824,2025,2025,64,96,Drama,Drama,61,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,1,0,0.0,55.55555555555556
aeb0860d-ba12-4c53-a380-59ef9191d153,2025,2025,64,101,Thriller,Suspenso,44,NEG,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,2,0,0.0,14.285714285714285
43573aaf-179b-4be4-ba5d-299ed37b5da0,2025,2025,64,113,Drama,Drama,37,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",2,0,1,1.0,33.33333333333333
346f200c-815c-4db2-8285-bc427d48dc8e,2025,2025,64,94,Drama,Drama,46,NEG,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",3,6,1,0.3333333333333333,50.0
882d18db-4d2a-4680-a7c4-21655f4ff1e5,2025,2025,64,107,Drama romántico,Drama,74,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",1,3,1,0.25,62.5
b51398cc-8685-4ea0-a2da-97535fab917c,2025,2025,64,95,Comedia,Comedia,62,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,2,0,0.0,66.66666666666666
e2d1b117-5947-4e3c-abeb-65782e98b630,2025,2025,64,115,Drama psicológico,Drama,62,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",2,3,1,0.4,40.0
9fd7c650-13d3-4e2c-90f9-938368aa5cec,2025,2025,64,115,Comedia,Comedia,47,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,0,0,0.0,50.0
cd267fb3-6795-4a17-b5f3-d253e51d747d,2025,2025,64,87,Comedia,Comedia,53,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,4,0,0.0,0.0
ad3ef759-1f9c-4892-b8be-e3d8c5cd0924,2025,2025,64,88,Comedia,Comedia,42,NEG,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,0,0,0.0,0.0
4c6f8dfb-594c-4fbf-86fd-a965ec66fe28,2025,2025,64,110,Comedia románticaMusical,Comedia,51,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",2,4,1,0.3333333333333333,0.0
ff5f9d33-a3a8-4da2-82ca-0633fb3e9aae,2025,2025,64,110,Comedia dramática,Comedia,119,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",2,9,1,0.18181818181818182,16.666666666666664
